CustomerID,Segment,Age,AgeBand,Gender,Region,Channel,TenureYears,IncomeBand,RiskProfile,Active90D,ProductCount,Has_Deposit,Has_CreditCard,Has_Loan,Has_Wealth,Has_Insurance,TotalAUM_k,CardMonthlySpend_k,LoanBalance_k,AnnualContribution_k,WealthPropensity
100001,財富管理,31,30-39,女,北區,理專業務,1,120–250萬,穩健,1,4,1,1,0,1,1,1303,9,0,15,70
100002,大眾理財,32,30-39,男,南區,理專業務,5,60–120萬,穩健,0,3,1,1,0,0,1,6,7,0,3,38
100003,財富管理,46,40-49,女,北區,分行臨櫃,20,60–120萬,穩健,0,3,1,1,0,1,0,3707,17,0,33,74
100004,財富管理,37,30-39,男,北區,網銀／APP,5,120–250萬,穩健,1,3,1,1,1,0,0,172,37,2108,37,86
100005,大眾理財,34,30-39,男,東區,分行臨櫃,5,<60萬,保守,0,3,1,1,1,0,0,31,6,1868,26,30
100006,私人銀行,59,50-59,女,中區,理專業務,13,120–250萬,積極,1,3,1,1,0,1,0,13123,63,0,114,95
100007,財富管理,40,40-49,女,北區,網銀／APP,11,120–250萬,穩健,0,3,1,0,1,1,0,1216,0,5680,85,70
100008,財富管理,46,40-49,男,北區,網銀／APP,2,<60萬,穩健,0,4,1,1,0,1,1,512,21,0,11,35
100009,大眾理財,55,50-59,女,北區,分行臨櫃,0,<60萬,保守,0,2,1,1,0,0,0,9,22,0,5,18
100010,大眾理財,36,30-39,女,北區,網銀／APP,3,<60萬,穩健,0,2,1,1,0,0,0,12,9,0,2,28
100011,大眾理財,50,50-59,男,北區,分行臨櫃,2,60–120萬,穩健,1,2,1,0,0,1,0,354,0,0,4,52
100012,貴賓理財,56,50-59,男,北區,電話行銷,24,60–120萬,保守,0,3,1,1,1,0,0,285,10,4438,62,92
100013,財富管理,27,20-29,男,北區,網銀／APP,1,120–250萬,保守,1,2,1,0,0,0,1,43,0,0,2,72
100014,財富管理,31,30-39,男,北區,網銀／APP,14,60–120萬,穩健,1,2,1,1,0,0,0,23,36,0,8,73
100015,大眾理財,28,20-29,男,北區,理專業務,2,60–120萬,穩健,1,2,1,1,0,0,0,12,20,0,5,59
100016,大眾理財,28,20-29,女,東區,分行臨櫃,1,60–120萬,保守,1,2,1,0,0,1,0,272,0,0,4,44
100017,大眾理財,37,30-39,女,北區,分行臨櫃,8,60–120萬,積極,0,2,1,0,1,0,0,8,0,1857,24,42
100018,大眾理財,44,40-49,女,北區,網銀／APP,1,60–120萬,保守,0,2,1,0,0,0,1,19,0,0,1,30
100019,財富管理,57,50-59,男,南區,電話行銷,8,250萬+,保守,1,2,1,0,0,1,0,5745,0,0,45,88
100020,財富管理,47,40-49,男,北區,分行臨櫃,5,120–250萬,保守,1,2,1,1,0,0,0,34,24,0,6,69
100021,財富管理,39,30-39,男,北區,電話行銷,14,60–120萬,穩健,1,5,1,1,1,1,1,9051,9,4004,125,84
100022,大眾理財,20,20-29,男,南區,網銀／APP,6,<60萬,保守,0,1,1,0,0,0,0,11,0,0,1,20
100023,私人銀行,55,50-59,女,中區,網銀／APP,6,60–120萬,穩健,0,3,1,1,0,1,0,9920,49,0,87,87
100024,貴賓理財,50,50-59,男,北區,網銀／APP,16,60–120萬,保守,1,3,1,1,0,0,1,314,56,0,16,80
100025,財富管理,46,40-49,男,中區,分行臨櫃,6,60–120萬,保守,0,2,1,1,0,0,0,63,4,0,1,60
100026,大眾理財,61,60+,女,中區,分行臨櫃,3,<60萬,保守,1,2,1,0,0,1,0,88,0,0,2,32
100027,大眾理財,51,50-59,女,北區,電話行銷,3,120–250萬,保守,0,4,1,1,1,0,1,20,46,6321,94,52
100028,大眾理財,46,40-49,女,北區,網銀／APP,6,<60萬,保守,0,2,1,1,0,0,0,18,151,0,33,38
100029,大眾理財,27,20-29,男,北區,網銀／APP,2,<60萬,保守,1,2,1,1,0,0,0,14,17,0,4,30
100030,財富管理,38,30-39,女,南區,理專業務,2,60–120萬,穩健,1,3,1,1,1,0,0,69,72,509,23,65
100031,財富管理,42,40-49,男,北區,分行臨櫃,2,<60萬,穩健,0,3,1,0,1,1,0,2024,0,5792,92,45
100032,貴賓理財,41,40-49,男,北區,網銀／APP,7,60–120萬,積極,0,5,1,1,1,1,1,2032,13,2428,52,70
100033,大眾理財,43,40-49,男,北區,網銀／APP,1,<60萬,穩健,1,3,1,1,0,0,1,25,42,0,11,32
100034,大眾理財,41,40-49,女,南區,分行臨櫃,6,<60萬,保守,1,1,1,0,0,0,0,12,0,0,1,41
100035,大眾理財,26,20-29,男,北區,理專業務,2,60–120萬,穩健,0,2,1,1,0,0,0,53,11,0,3,21
100036,大眾理財,51,50-59,女,北區,理專業務,4,<60萬,保守,1,1,1,0,0,0,0,36,0,0,1,36
100037,大眾理財,39,30-39,男,北區,網銀／APP,7,60–120萬,穩健,1,1,1,0,0,0,0,10,0,0,1,52
100038,大眾理財,20,20-29,女,中區,理專業務,8,60–120萬,保守,0,1,1,0,0,0,0,42,0,0,1,34
100039,大眾理財,37,30-39,男,北區,分行臨櫃,3,<60萬,積極,0,4,1,1,0,1,1,420,5,0,7,19
