HoldingID,CustomerID,ProductCategory,Balance_k,Status
1,100001,存款,531,持有
2,100001,信用卡,9,持有
3,100001,財富管理,1042,持有
4,100001,保險,5,持有
5,100002,存款,12,持有
6,100002,信用卡,7,持有
7,100002,保險,34,持有
8,100003,存款,1492,持有
9,100003,信用卡,17,持有
10,100003,財富管理,2965,持有
11,100004,存款,78,持有
12,100004,信用卡,37,持有
13,100004,放款,2108,持有
14,100005,存款,22,持有
15,100005,信用卡,6,持有
16,100005,放款,1868,持有
17,100006,存款,5259,持有
18,100006,信用卡,63,持有
19,100006,財富管理,10498,持有
20,100007,存款,496,持有
21,100007,放款,5680,持有
22,100007,財富管理,972,持有
23,100008,存款,214,持有
24,100008,信用卡,21,持有
25,100008,財富管理,409,持有
26,100008,保險,33,持有
27,100009,存款,13,持有
28,100009,信用卡,22,持有
29,100010,存款,14,持有
30,100010,信用卡,9,持有
31,100011,存款,151,持有
32,100011,財富管理,283,持有
33,100012,存款,124,持有
34,100012,信用卡,10,持有
35,100012,放款,4438,持有
36,100013,存款,27,持有
37,100013,保險,41,持有
38,100014,存款,19,持有
39,100014,信用卡,36,持有
40,100015,存款,14,持有
41,100015,信用卡,20,持有
42,100016,存款,118,持有
43,100016,財富管理,217,持有
44,100017,存款,13,持有
45,100017,放款,1857,持有
46,100018,存款,17,持有
47,100018,保險,7,持有
48,100019,存款,2308,持有
49,100019,財富管理,4596,持有
50,100020,存款,23,持有
51,100020,信用卡,24,持有
52,100021,存款,3630,持有
53,100021,信用卡,9,持有
54,100021,放款,4004,持有
55,100021,財富管理,7240,持有
56,100021,保險,29,持有
57,100022,存款,14,持有
58,100023,存款,3978,持有
59,100023,信用卡,49,持有
60,100023,財富管理,7936,持有
61,100024,存款,135,持有
62,100024,信用卡,56,持有
63,100024,保險,17,持有
64,100025,存款,35,持有
65,100025,信用卡,4,持有
66,100026,存款,45,持有
67,100026,財富管理,70,持有
68,100027,存款,18,持有
69,100027,信用卡,46,持有
70,100027,放款,6321,持有
71,100027,保險,16,持有
72,100028,存款,17,持有
73,100028,信用卡,151,持有
74,100029,存款,15,持有
75,100029,信用卡,17,持有
76,100030,存款,37,持有
77,100030,信用卡,72,持有
78,100030,放款,509,持有
79,100031,存款,819,持有
80,100031,放款,5792,持有
81,100031,財富管理,1619,持有
82,100032,存款,822,持有
83,100032,信用卡,13,持有
84,100032,放款,2428,持有
85,100032,財富管理,1625,持有
86,100032,保險,20,持有
87,100033,存款,20,持有
88,100033,信用卡,42,持有
89,100033,保險,43,持有
90,100034,存款,14,持有
91,100035,存款,31,持有
92,100035,信用卡,11,持有
93,100036,存款,24,持有
94,100037,存款,14,持有
95,100038,存款,26,持有
96,100039,存款,178,持有
97,100039,信用卡,5,持有
98,100039,財富管理,336,持有
99,100039,保險,11,持有
100,100040,存款,885,持有
101,100040,信用卡,24,持有
102,100040,財富管理,1750,持有
103,100041,存款,16,持有
104,100041,放款,1302,持有
105,100041,保險,9,持有
106,100042,存款,29,持有
107,100043,存款,30,持有
108,100043,放款,2005,持有
109,100043,保險,11,持有
110,100044,存款,14,持有
111,100044,保險,25,持有
112,100045,存款,121,持有
113,100045,信用卡,17,持有
114,100045,財富管理,222,持有
115,100046,存款,323,持有
116,100046,信用卡,73,持有
117,100046,放款,2107,持有
118,100046,財富管理,627,持有
119,100046,保險,34,持有
120,100047,存款,14,持有
121,100047,信用卡,12,持有
122,100047,放款,2067,持有
123,100048,存款,13,持有
124,100048,信用卡,7,持有
125,100049,存款,926,持有
126,100049,財富管理,1832,持有
127,100050,存款,18,持有
128,100050,信用卡,11,持有
129,100051,存款,14,持有
130,100051,信用卡,11,持有
131,100051,保險,27,持有
132,100052,存款,15,持有
133,100053,存款,676,持有
134,100053,信用卡,7,持有
135,100053,財富管理,1333,持有
136,100053,保險,16,持有
137,100054,存款,300,持有
138,100054,信用卡,18,持有
139,100054,財富管理,580,持有
140,100055,存款,75,持有
141,100055,財富管理,131,持有
142,100056,存款,82,持有
143,100056,放款,3065,持有
144,100056,保險,18,持有
145,100057,存款,16,持有
146,100057,信用卡,26,持有
147,100058,存款,18,持有
148,100059,存款,17,持有
149,100059,信用卡,16,持有
150,100059,保險,36,持有
151,100060,存款,13,持有
152,100060,信用卡,9,持有
153,100060,保險,34,持有
154,100061,存款,24,持有
155,100061,信用卡,46,持有
156,100061,放款,5442,持有
157,100061,保險,42,持有
158,100062,存款,16,持有
159,100062,信用卡,38,持有
160,100062,放款,1215,持有
161,100063,存款,16,持有
162,100064,存款,20,持有
163,100064,保險,38,持有
164,100065,存款,751,持有
165,100065,信用卡,23,持有
166,100065,財富管理,1482,持有
167,100065,保險,5,持有
168,100066,存款,20,持有
169,100066,信用卡,12,持有
170,100067,存款,15,持有
171,100067,信用卡,6,持有
172,100068,存款,24,持有
173,100068,放款,3429,持有
174,100069,存款,20,持有
175,100070,存款,18,持有
176,100070,保險,41,持有
177,100071,存款,15,持有
178,100071,信用卡,41,持有
179,100072,存款,16,持有
180,100072,放款,1243,持有
181,100072,保險,24,持有
182,100073,存款,1156,持有
183,100073,信用卡,33,持有
184,100073,財富管理,2292,持有
185,100074,存款,13,持有
186,100074,信用卡,22,持有
187,100074,保險,34,持有
188,100075,存款,13,持有
189,100075,信用卡,8,持有
190,100075,保險,37,持有
191,100076,存款,15,持有
192,100076,信用卡,6,持有
193,100076,放款,4687,持有
194,100077,存款,16,持有
195,100077,信用卡,4,持有
196,100078,存款,34,持有
197,100078,信用卡,17,持有
198,100078,放款,7031,持有
199,100079,存款,19,持有
200,100079,信用卡,7,持有
