CustomerID,YearMonth,AUM_k,CardSpend_k,LoanBalance_k,Contribution_k
100001,2025-07,1198,8,0,1
100002,2025-07,5,6,0,0
100003,2025-07,3410,15,0,2
100004,2025-07,158,34,2108,2
100005,2025-07,28,5,1868,1
100006,2025-07,12073,57,0,8
100007,2025-07,1118,0,5680,6
100008,2025-07,471,19,0,0
100009,2025-07,8,20,0,0
100010,2025-07,11,8,0,0
100011,2025-07,325,0,0,0
100012,2025-07,262,9,4438,4
100013,2025-07,39,0,0,0
100014,2025-07,21,33,0,0
100015,2025-07,11,18,0,0
100016,2025-07,250,0,0,0
100017,2025-07,7,0,1857,1
100018,2025-07,17,0,0,0
100019,2025-07,5285,0,0,3
100020,2025-07,31,22,0,0
100021,2025-07,8326,8,4004,9
100022,2025-07,10,0,0,0
100023,2025-07,9126,45,0,6
100024,2025-07,288,51,0,1
100025,2025-07,57,3,0,0
100026,2025-07,80,0,0,0
100027,2025-07,18,42,6321,7
100028,2025-07,16,138,0,2
100029,2025-07,12,15,0,0
100030,2025-07,63,66,509,1
100031,2025-07,1862,0,5792,7
100032,2025-07,1869,11,2428,3
100033,2025-07,23,38,0,0
100034,2025-07,11,0,0,0
100035,2025-07,48,10,0,0
100036,2025-07,33,0,0,0
100037,2025-07,9,0,0,0
100038,2025-07,38,0,0,0
100039,2025-07,386,4,0,0
100040,2025-07,2012,22,0,1
100041,2025-07,13,0,1302,1
100042,2025-07,45,0,0,0
100043,2025-07,47,0,2005,2
100044,2025-07,9,0,0,0
100045,2025-07,255,15,0,0
100046,2025-07,721,67,2107,3
100047,2025-07,11,11,2067,2
100048,2025-07,8,6,0,0
100049,2025-07,2107,0,0,1
100050,2025-07,18,10,0,0
100051,2025-07,11,10,0,0
100052,2025-07,12,0,0,0
100053,2025-07,1533,6,0,1
100054,2025-07,667,16,0,0
100055,2025-07,150,0,0,0
100056,2025-07,167,0,3065,3
100057,2025-07,14,23,0,0
100058,2025-07,18,0,0,0
100059,2025-07,17,14,0,0
100060,2025-07,7,8,0,0
100061,2025-07,34,42,5442,6
100062,2025-07,15,34,1215,1
