CustomerID,Segment,_seg,Age,AgeBand,Region,Channel,TenureYears,IncomeBand,RiskProfile,Active90D,ProductCount,Has_Deposit,Has_CreditCard,Has_Loan,Has_Wealth,Has_Insurance,TotalAUM_k,AUM_萬,CardMonthlySpend_k,LoanBalance_k,AnnualContribution_k,Prop_CreditCard,Prop_Loan,Prop_Wealth,Prop_Insurance,WealthPropensity_ML,現有商品
100001,財富管理,1,31,30-39,北區,理專業務,1,120–250萬,穩健,1,4,1,1,0,1,1,1303,130,9,0,15,57,51,74,57,74,存卡財保
100002,大眾理財,0,32,30-39,南區,理專業務,5,60–120萬,穩健,0,3,1,1,0,0,1,6,1,7,0,3,42,44,17,44,17,存卡保
100003,財富管理,1,46,40-49,北區,分行臨櫃,20,60–120萬,穩健,0,3,1,1,0,1,0,3707,371,17,0,33,58,59,57,59,57,存卡財
100004,財富管理,1,37,30-39,北區,網銀／APP,5,120–250萬,穩健,1,3,1,1,1,0,0,172,17,37,2108,37,65,54,69,55,69,存卡貸
100005,大眾理財,0,34,30-39,東區,分行臨櫃,5,<60萬,保守,0,3,1,1,1,0,0,31,3,6,1868,26,42,48,16,41,16,存卡貸
100006,私人銀行,3,59,50-59,中區,理專業務,13,120–250萬,積極,1,3,1,1,0,1,0,13123,1312,63,0,114,81,48,98,81,98,存卡財
100007,財富管理,1,40,40-49,北區,網銀／APP,11,120–250萬,穩健,0,3,1,0,1,1,0,1216,122,0,5680,85,62,55,68,64,68,存貸財
100008,財富管理,1,46,40-49,北區,網銀／APP,2,<60萬,穩健,0,4,1,1,0,1,1,512,51,21,0,11,59,57,73,57,73,存卡財保
100009,大眾理財,0,55,50-59,北區,分行臨櫃,0,<60萬,保守,0,2,1,1,0,0,0,9,1,22,0,5,41,49,18,37,18,存卡
100010,大眾理財,0,36,30-39,北區,網銀／APP,3,<60萬,穩健,0,2,1,1,0,0,0,12,1,9,0,2,45,44,18,40,18,存卡
100011,大眾理財,0,50,50-59,北區,分行臨櫃,2,60–120萬,穩健,1,2,1,0,0,1,0,354,35,0,0,4,35,44,21,42,21,存財
100012,貴賓理財,2,56,50-59,北區,電話行銷,24,60–120萬,保守,0,3,1,1,1,0,0,285,28,10,4438,62,75,60,85,71,85,存卡貸
100013,財富管理,1,27,20-29,北區,網銀／APP,1,120–250萬,保守,1,2,1,0,0,0,1,43,4,0,0,2,66,54,76,54,76,存保
100014,財富管理,1,31,30-39,北區,網銀／APP,14,60–120萬,穩健,1,2,1,1,0,0,0,23,2,36,0,8,64,56,64,55,64,存卡
100015,大眾理財,0,28,20-29,北區,理專業務,2,60–120萬,穩健,1,2,1,1,0,0,0,12,1,20,0,5,41,40,19,39,19,存卡
100016,大眾理財,0,28,20-29,東區,分行臨櫃,1,60–120萬,保守,1,2,1,0,0,1,0,272,27,0,0,4,38,43,21,44,21,存財
100017,大眾理財,0,37,30-39,北區,分行臨櫃,8,60–120萬,積極,0,2,1,0,1,0,0,8,1,0,1857,24,39,48,17,43,17,存貸
100018,大眾理財,0,44,40-49,北區,網銀／APP,1,60–120萬,保守,0,2,1,0,0,0,1,19,2,0,0,1,45,44,24,40,24,存保
100019,財富管理,1,57,50-59,南區,電話行銷,8,250萬+,保守,1,2,1,0,0,1,0,5745,574,0,0,45,61,57,66,62,66,存財
100020,財富管理,1,47,40-49,北區,分行臨櫃,5,120–250萬,保守,1,2,1,1,0,0,0,34,3,24,0,6,62,57,67,52,67,存卡
100021,財富管理,1,39,30-39,北區,電話行銷,14,60–120萬,穩健,1,5,1,1,1,1,1,9051,905,9,4004,125,60,50,60,60,60,存卡貸財保
100022,大眾理財,0,20,20-29,南區,網銀／APP,6,<60萬,保守,0,1,1,0,0,0,0,11,1,0,0,1,48,46,17,43,17,存
100023,私人銀行,3,55,50-59,中區,網銀／APP,6,60–120萬,穩健,0,3,1,1,0,1,0,9920,992,49,0,87,83,49,98,81,98,存卡財
100024,貴賓理財,2,50,50-59,北區,網銀／APP,16,60–120萬,保守,1,3,1,1,0,0,1,314,31,56,0,16,77,63,92,67,92,存卡保
100025,財富管理,1,46,40-49,中區,分行臨櫃,6,60–120萬,保守,0,2,1,1,0,0,0,63,6,4,0,1,59,59,59,54,59,存卡
100026,大眾理財,0,61,60+,中區,分行臨櫃,3,<60萬,保守,1,2,1,0,0,1,0,88,9,0,0,2,33,47,18,39,18,存財
100027,大眾理財,0,51,50-59,北區,電話行銷,3,120–250萬,保守,0,4,1,1,1,0,1,20,2,46,6321,94,43,43,18,43,18,存卡貸保
100028,大眾理財,0,46,40-49,北區,網銀／APP,6,<60萬,保守,0,2,1,1,0,0,0,18,2,151,0,33,46,53,22,37,22,存卡
100029,大眾理財,0,27,20-29,北區,網銀／APP,2,<60萬,保守,1,2,1,1,0,0,0,14,1,17,0,4,46,42,18,37,18,存卡
100030,財富管理,1,38,30-39,南區,理專業務,2,60–120萬,穩健,1,3,1,1,1,0,0,69,7,72,509,23,60,58,68,55,68,存卡貸
100031,財富管理,1,42,40-49,北區,分行臨櫃,2,<60萬,穩健,0,3,1,0,1,1,0,2024,202,0,5792,92,56,60,68,60,68,存貸財
100032,貴賓理財,2,41,40-49,北區,網銀／APP,7,60–120萬,積極,0,5,1,1,1,1,1,2032,203,13,2428,52,73,59,92,74,92,存卡貸財保
100033,大眾理財,0,43,40-49,北區,網銀／APP,1,<60萬,穩健,1,3,1,1,0,0,1,25,2,42,0,11,43,45,23,38,23,存卡保
100034,大眾理財,0,41,40-49,南區,分行臨櫃,6,<60萬,保守,1,1,1,0,0,0,0,12,1,0,0,1,41,49,16,40,16,存
100035,大眾理財,0,26,20-29,北區,理專業務,2,60–120萬,穩健,0,2,1,1,0,0,0,53,5,11,0,3,43,41,18,41,18,存卡
100036,大眾理財,0,51,50-59,北區,理專業務,4,<60萬,保守,1,1,1,0,0,0,0,36,4,0,0,1,41,44,22,37,22,存
100037,大眾理財,0,39,30-39,北區,網銀／APP,7,60–120萬,穩健,1,1,1,0,0,0,0,10,1,0,0,1,45,42,20,41,20,存
100038,大眾理財,0,20,20-29,中區,理專業務,8,60–120萬,保守,0,1,1,0,0,0,0,42,4,0,0,1,42,43,16,41,16,存
100039,大眾理財,0,37,30-39,北區,分行臨櫃,3,<60萬,積極,0,4,1,1,0,1,1,420,42,5,0,7,34,47,18,43,18,存卡財保
100040,財富管理,1,47,40-49,南區,理專業務,0,<60萬,穩健,0,3,1,1,0,1,0,2188,219,24,0,23,57,58,69,60,69,存卡財
